addr:housenumber,addr:street,building
2,Sherway Drive,terrace
4,Sherway Drive,terrace
6,Sherway Drive,terrace
8,Sherway Drive,terrace
10,Sherway Drive,terrace
12,Sherway Drive,terrace
22,Sherway Drive,terrace
16,Sherway Drive,terrace
14,Sherway Drive,terrace
20,Sherway Drive,terrace
18,Sherway Drive,terrace
301,Thistledown Court,terrace
24,Sherway Drive,terrace
26,Sherway Drive,terrace
28,Sherway Drive,terrace
283,Thistledown Court,terrace
281,Thistledown Court,terrace
34,Sherway Drive,terrace
30,Sherway Drive,terrace
32,Sherway Drive,terrace
285,Thistledown Court,terrace
36,Sherway Drive,terrace
38,Sherway Drive,terrace
40,Sherway Drive,terrace
46,Sherway Drive,terrace
44,Sherway Drive,terrace
42,Sherway Drive,terrace
48,Sherway Drive,terrace
54,Sherway Drive,terrace
50,Sherway Drive,terrace
52,Sherway Drive,terrace
56,Sherway Drive,house
58,Sherway Drive,house
66,Sherway Drive,house
70,Sherway Drive,house
74,Sherway Drive,house
78,Sherway Drive,house
82,Sherway Drive,house
86,Sherway Drive,house
90,Sherway Drive,house
94,Sherway Drive,house
98,Sherway Drive,house
102,Sherway Drive,house
7,Dolan Drive,terrace
118,Sherway Drive,house
122,Sherway Drive,house
126,Sherway Drive,house
130,Sherway Drive,house
134,Sherway Drive,house
138,Sherway Drive,house
142,Sherway Drive,house
3,Conway Street,house
2,Liveoak Crescent,detached
4,Liveoak Crescent,detached
6,Liveoak Crescent,detached
8,Liveoak Crescent,detached
10,Liveoak Crescent,detached
12,Liveoak Crescent,detached
14,Liveoak Crescent,detached
16,Liveoak Crescent,detached
18,Liveoak Crescent,detached
20,Liveoak Crescent,detached
22,Liveoak Crescent,detached
24,Liveoak Crescent,detached
26,Liveoak Crescent,detached
28,Liveoak Crescent,detached
30,Liveoak Crescent,detached
32,Liveoak Crescent,detached
34,Liveoak Crescent,detached
36,Liveoak Crescent,detached
38,Liveoak Crescent,detached
25,Burnett's Grove Circle,detached
27,Burnett's Grove Circle,detached
29,Burnett's Grove Circle,detached
31,Burnett's Grove Circle,detached
33,Burnett's Grove Circle,detached
35,Burnett's Grove Circle,detached
41,Burnett's Grove Circle,detached
38,Sage Crescent,detached
36,Sage Crescent,detached
34,Sage Crescent,detached
32,Sage Crescent,detached
30,Sage Crescent,detached
28,Sage Crescent,detached
26,Sage Crescent,detached
24,Sage Crescent,detached
22,Sage Crescent,detached
20,Sage Crescent,detached
18,Sage Crescent,detached
16,Sage Crescent,detached
14,Sage Crescent,detached
12,Sage Crescent,detached
10,Sage Crescent,detached
8,Sage Crescent,detached
6,Sage Crescent,detached
4,Sage Crescent,detached
2,Sage Crescent,detached
61,Burnett's Grove Circle,detached
63,Burnett's Grove Circle,detached
65,Burnett's Grove Circle,detached
67,Burnett's Grove Circle,detached
47,Burnett's Grove Circle,detached
49,Burnett's Grove Circle,detached
51,Burnett's Grove Circle,detached
53,Burnett's Grove Circle,detached
55,Burnett's Grove Circle,detached
1,Sage Crescent,detached
3,Sage Crescent,detached
5,Sage Crescent,detached
7,Sage Crescent,detached
9,Sage Crescent,detached
17,Sage Crescent,detached
15,Sage Crescent,detached
13,Sage Crescent,detached
11,Sage Crescent,detached
3,Liveoak Crescent,detached
5,Liveoak Crescent,detached
7,Liveoak Crescent,detached
9,Liveoak Crescent,detached
11,Liveoak Crescent,detached
13,Liveoak Crescent,detached
15,Liveoak Crescent,detached
17,Liveoak Crescent,detached
7,Burnett's Grove Circle,detached
9,Burnett's Grove Circle,detached
11,Burnett's Grove Circle,detached
13,Burnett's Grove Circle,detached
15,Burnett's Grove Circle,detached
17,Burnett's Grove Circle,detached
19,Burnett's Grove Circle,detached
21,Burnett's Grove Circle,detached
23,Burnett's Grove Circle,detached
6,Burnett's Grove Circle,house
10,Burnett's Grove Circle,house
16,Burnett's Grove Circle,house
20,Burnett's Grove Circle,house
24,Burnett's Grove Circle,house
28,Burnett's Grove Circle,house
32,Burnett's Grove Circle,house
36,Burnett's Grove Circle,house
40,Burnett's Grove Circle,house
44,Burnett's Grove Circle,house
48,Burnett's Grove Circle,house
