,osm_obj_type,id,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
153553,way,481368422,45.4411945,-75.654536,,196,Cantin Street,apartments,"196 Cantin street, Ottawa, ON","196 Cantin street, Ottawa, ON"
144537,way,479739846,45.4401689,-75.6587115,,316,Joffre-Bélanger Way,apartments,"316 Joffre-bélanger way, Ottawa, ON","316 Joffre-bélanger way, Ottawa, ON"
7775,way,305067824,45.471664,-75.5293966,,6419,Lumberman Way,apartments,"6419 Lumberman way, Ottawa, ON","6419 Lumberman way, Ottawa, ON"
154276,way,481444241,45.3622671,-75.786642,,821,Norton Avenue,apartments,"821 Norton avenue, Ottawa, ON","821 Norton avenue, Ottawa, ON"
7530,way,294058120,45.3599531,-75.7920499,,2716,Richmond Road,apartments,"2716 Richmond road, Ottawa, ON","2716 Richmond road, Ottawa, ON"
280074,way,618836659,45.4441066,-75.672615,,234,Rideau Terrace,apartments,"234 Rideau terrace, Ottawa, ON","234 Rideau terrace, Ottawa, ON"
4048,way,233576877,45.3138935,-75.9134155,,7303,Campeau Drive,apartments,"7303 Campeau drive, Ottawa, ON","7303 Campeau drive, Ottawa, ON"
2420,way,160465180,45.3782672,-75.7728716,,121,Lockhart Avenue,apartments,"121 Lockhart avenue, Ottawa, ON","121 Lockhart avenue, Ottawa, ON"
250662,way,586637694,45.3526894,-75.8063547,,23,Bayshore Drive,apartments,"23 Bayshore drive, Ottawa, ON","23 Bayshore drive, Ottawa, ON"
2976,way,191019528,45.2765185,-75.2750814,,151,Centenaire Street,apartments,"151 Centenaire street, Ottawa, ON","151 Centenaire street, Ottawa, ON"
42474,way,470835901,45.2725264,-75.7081697,,595,Stonefield Private,apartments,"595 Stonefield private, Ottawa, ON","595 Stonefield private, Ottawa, ON"
146170,way,479758332,45.4424591,-75.6626177,,257,Pères-Blancs Avenue,apartments,"257 Pères-blancs avenue, Ottawa, ON","257 Pères-blancs avenue, Ottawa, ON"
132161,way,474903585,45.3819895,-75.73547,,1349,Leaside Avenue,apartments,"1349 Leaside avenue, Ottawa, ON","1349 Leaside avenue, Ottawa, ON"
290236,way,683963639,45.2767888,-75.2742475,,165,Centenaire Street,apartments,"165 Centenaire street, Ottawa, ON","165 Centenaire street, Ottawa, ON"
102382,way,472669698,45.2887699,-75.863278,,10,Stonehill Court,apartments,"10 Stonehill court, Ottawa, ON","10 Stonehill court, Ottawa, ON"
37675,way,470443697,45.2644784,-75.7586005,,137,Harthill Way,apartments,"137 Harthill way, Ottawa, ON","137 Harthill way, Ottawa, ON"
5520,way,254830232,45.3818872,-75.7382106,,1381,Coldrey Avenue,apartments,"1381 Coldrey avenue, Ottawa, ON","1381 Coldrey avenue, Ottawa, ON"
7868,way,306788257,45.3740498,-75.7630133,,1983,Bromley Road,apartments,"1983 Bromley road, Ottawa, ON","1983 Bromley road, Ottawa, ON"
4491,way,237159571,45.3814006,-75.7476497,,341,Tillbury Avenue,apartments,"341 Tillbury avenue, Ottawa, ON","341 Tillbury avenue, Ottawa, ON"
154964,way,481677669,45.4071796,-75.677183,,230,Main Street,apartments,"230 Main street, Ottawa, ON","230 Main street, Ottawa, ON"
148998,way,479919362,45.362068,-75.7155786,,1157,Meadowlands Drive East,apartments,"1157 Meadowlands drive east, Ottawa, ON","1157 Meadowlands drive east, Ottawa, ON"
4392,way,236999170,45.4812756,-75.5076057,,310,Centrum Boulevard,apartments,"310 Centrum boulevard, Ottawa, ON","310 Centrum boulevard, Ottawa, ON"
5899,way,257835806,45.4140813,-75.6874537,,191,McLeod Street,apartments,"191 Mcleod street, Ottawa, ON","191 Mcleod street, Ottawa, ON"
286517,way,630284248,45.413744,-75.686277,,83,Park Avenue,apartments,"83 Park avenue, Ottawa, ON","83 Park avenue, Ottawa, ON"
149975,way,480069400,45.3804631,-75.750485,,727,Roosevelt Avenue,apartments,"727 Roosevelt avenue, Ottawa, ON","727 Roosevelt avenue, Ottawa, ON"
5539,way,255225548,45.4261377,-75.6773004,,330,Chapel Street,apartments,"330 Chapel street, Ottawa, ON","330 Chapel street, Ottawa, ON"
2031,way,131639572,45.4174131,-75.6950834,,264,Lisgar Street,apartments,"264 Lisgar street, Ottawa, ON","264 Lisgar street, Ottawa, ON"
288825,way,640413889,45.432794,-75.6916143,,230,Cumberland Street,apartments,"230 Cumberland street, Ottawa, ON","230 Cumberland street, Ottawa, ON"
61152,way,471633107,45.3142746,-75.9379389,,200,Guelph Private,apartments,"200 Guelph private, Ottawa, ON","200 Guelph private, Ottawa, ON"
151001,way,480205041,45.4340885,-75.6523846,,396,Blake Boulevard,apartments,"396 Blake boulevard, Ottawa, ON","396 Blake boulevard, Ottawa, ON"
1239,way,68658902,45.3985119,-75.6162707,,2450,Southvale Crescent,apartments,"2450 Southvale crescent, Ottawa, ON","2450 Southvale crescent, Ottawa, ON"
1200,way,68658614,45.3957696,-75.6113113,,2630,Southvale Crescent,apartments,"2630 Southvale crescent, Ottawa, ON","2630 Southvale crescent, Ottawa, ON"
247244,way,584078038,45.4348798,-75.6880557,,5,Rose Street,apartments,"5 Rose street, Ottawa, ON","5 Rose street, Ottawa, ON"
192087,way,542178111,45.3335448,-75.7956919,,47,Gladecrest Court,apartments,"47 Gladecrest court, Ottawa, ON","47 Gladecrest court, Ottawa, ON"
425,way,68586731,45.3836245,-75.6436864,,2400,Virginia Drive,apartments,"2400 Virginia drive, Ottawa, ON","2400 Virginia drive, Ottawa, ON"
280657,way,619344292,45.4349549,-75.6920047,,257,Cathcart Street,apartments,"257 Cathcart street, Ottawa, ON","257 Cathcart street, Ottawa, ON"
