,osm_obj_type,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
8451,way,45.3825082,-75.7385713,,839,Kirkwood Avenue,apartments,"839 Kirkwood avenue, Ottawa, ON","839 Kirkwood avenue, Ottawa, ON"
281492,way,45.4225557,-75.6786387,,216,Somerset Street East,apartments,"216 Somerset street east, Ottawa, ON","216 Somerset street east, Ottawa, ON"
18891,way,45.4387057,-75.6791662,,323,Crichton Street,apartments,"323 Crichton street, Ottawa, ON","323 Crichton street, Ottawa, ON"
19099,way,45.4239943,-75.6724797,,177,Goulburn Avenue,apartments,"177 Goulburn avenue, Ottawa, ON","177 Goulburn avenue, Ottawa, ON"
9611,way,45.4311733,-75.6525141,,385,Irwin Miller Street,apartments,"385 Irwin miller street, Ottawa, ON","385 Irwin miller street, Ottawa, ON"
248148,way,45.4091548,-75.6878113,,122,Pretoria Avenue,apartments,"122 Pretoria avenue, Ottawa, ON","122 Pretoria avenue, Ottawa, ON"
8968,way,45.3652003,-75.7937303,,2679,Regina Street,apartments,"2679 Regina street, Ottawa, ON","2679 Regina street, Ottawa, ON"
64544,way,45.2736885,-75.929127,,1113,Stittsville Main Street,apartments,"1113 Stittsville main street, Ottawa, ON","1113 Stittsville main street, Ottawa, ON"
249149,way,45.4217501,-75.6753857,,94,Templeton Street,apartments,"94 Templeton street, Ottawa, ON","94 Templeton street, Ottawa, ON"
18878,way,45.4389182,-75.6802682,,297,Crichton Street,apartments,"297 Crichton street, Ottawa, ON","297 Crichton street, Ottawa, ON"
368,way,45.4454244,-75.6446882,,280,Brittany Drive,apartments,"280 Brittany drive, Ottawa, ON","280 Brittany drive, Ottawa, ON"
263876,way,45.2778171,-75.6781565,,1013,Beryl Private,apartments,"1013 Beryl private, Ottawa, ON","1013 Beryl private, Ottawa, ON"
285037,way,45.4902136,-75.4960046,,90,Prestige Circle,apartments,"90 Prestige circle, Ottawa, ON","90 Prestige circle, Ottawa, ON"
105160,way,45.3497107,-75.7064245,,626,Prado Private,apartments,"626 Prado private, Ottawa, ON","626 Prado private, Ottawa, ON"
20092,way,45.3615972,-75.7170339,,1175,Meadowlands Drive East,apartments,"1175 Meadowlands drive east, Ottawa, ON","1175 Meadowlands drive east, Ottawa, ON"
102410,way,45.2891046,-75.8639598,,16,Stonehill Court,apartments,"16 Stonehill court, Ottawa, ON","16 Stonehill court, Ottawa, ON"
9722,way,45.3652902,-75.7921094,,2648,Regina Street,apartments,"2648 Regina street, Ottawa, ON","2648 Regina street, Ottawa, ON"
136510,way,45.4420085,-75.6698925,,34,Ste-Cécile Street,apartments,"34 Ste-cécile street, Ottawa, ON","34 Ste-cécile street, Ottawa, ON"
278961,way,45.4434703,-75.6763567,,120,Rideau Terrace,apartments,"120 Rideau terrace, Ottawa, ON","120 Rideau terrace, Ottawa, ON"
2113,way,45.3725914,-75.7836094,,30,McEwen Avenue,apartments,"30 Mcewen avenue, Ottawa, ON","30 Mcewen avenue, Ottawa, ON"
150611,way,45.4336667,-75.6531093,,10,Eastwood Place,apartments,"10 Eastwood place, Ottawa, ON","10 Eastwood place, Ottawa, ON"
7602,way,45.4144734,-75.6814716,,10,Main Street,apartments,"10 Main street, Ottawa, ON","10 Main street, Ottawa, ON"
132980,way,45.3825939,-75.753924,,446,Dovercourt Avenue,apartments,"446 Dovercourt avenue, Ottawa, ON","446 Dovercourt avenue, Ottawa, ON"
2974,way,45.2555705,-75.3544892,,472,Church Street,apartments,"472 Church street, Ottawa, ON","472 Church street, Ottawa, ON"
149897,way,45.3817434,-75.7489653,,704,Edison Avenue,apartments,"704 Edison avenue, Ottawa, ON","704 Edison avenue, Ottawa, ON"
287789,way,45.3988847,-75.7114706,,101,Champagne Avenue South,apartments,"101 Champagne avenue south, Ottawa, ON","101 Champagne avenue south, Ottawa, ON"
161734,way,45.3744945,-75.7331992,,1160,Merivale Road,apartments,"1160 Merivale road, Ottawa, ON","1160 Merivale road, Ottawa, ON"
69690,way,45.3159081,-75.9332178,,122,Battersea Crescent,apartments,"122 Battersea crescent, Ottawa, ON","122 Battersea crescent, Ottawa, ON"
149969,way,45.3807031,-75.750276,,721,Roosevelt Avenue,apartments,"721 Roosevelt avenue, Ottawa, ON","721 Roosevelt avenue, Ottawa, ON"
18883,way,45.4391204,-75.6813463,,279 A,Crichton Street,apartments,"279 A Crichton street, Ottawa, ON","279 A Crichton street, Ottawa, ON"
3012,way,45.3682944,-75.7363113,,110,Central Park Drive,apartments,"110 Central park drive, Ottawa, ON","110 Central park drive, Ottawa, ON"
247239,way,45.4348084,-75.6890257,,282,Bruyère Street,apartments,"282 Bruyère street, Ottawa, ON","282 Bruyère street, Ottawa, ON"
8570,way,45.3828456,-75.6733569,,1153,Rockingham Avenue,apartments,"1153 Rockingham avenue, Ottawa, ON","1153 Rockingham avenue, Ottawa, ON"
602,way,45.360244,-75.7942643,,415,Greenview Avenue,apartments,"415 Greenview avenue, Ottawa, ON","415 Greenview avenue, Ottawa, ON"
8510,way,45.4375613,-75.6561492,,200,Lafontaine Avenue,apartments,"200 Lafontaine avenue, Ottawa, ON","200 Lafontaine avenue, Ottawa, ON"
6761,way,45.4154012,-75.7036957,,255,Bay Street,apartments,"255 Bay street, Ottawa, ON","255 Bay street, Ottawa, ON"
5971,way,45.3779761,-75.6546722,,1460,Heron Road,apartments,"1460 Heron road, Ottawa, ON","1460 Heron road, Ottawa, ON"
5579,way,45.4308825,-75.6771162,,381,Daly Avenue,apartments,"381 Daly avenue, Ottawa, ON","381 Daly avenue, Ottawa, ON"
61151,way,45.3141255,-75.9375476,,190,Guelph Private,apartments,"190 Guelph private, Ottawa, ON","190 Guelph private, Ottawa, ON"
5899,way,45.4140813,-75.6874537,,191,McLeod Street,apartments,"191 Mcleod street, Ottawa, ON","191 Mcleod street, Ottawa, ON"
5521,way,45.3816919,-75.7388697,,1397,Coldrey Avenue,apartments,"1397 Coldrey avenue, Ottawa, ON","1397 Coldrey avenue, Ottawa, ON"
8944,way,45.3634636,-75.7947736,,349,Britannia Road,apartments,"349 Britannia road, Ottawa, ON","349 Britannia road, Ottawa, ON"
5361,way,45.4413714,-75.6894909,,53,Crichton Street,apartments,"53 Crichton street, Ottawa, ON","53 Crichton street, Ottawa, ON"
2150,way,45.4328762,-75.6770467,,160,Charlotte Street,apartments,"160 Charlotte street, Ottawa, ON","160 Charlotte street, Ottawa, ON"
132066,way,45.3777425,-75.7312573,,1312,Emperor Avenue,apartments,"1312 Emperor avenue, Ottawa, ON","1312 Emperor avenue, Ottawa, ON"
135907,way,45.4402628,-75.6733341,,112,Barrette Street,apartments,"112 Barrette street, Ottawa, ON","112 Barrette street, Ottawa, ON"
7629,way,45.4353681,-75.6445919,,550,Côté Street,apartments,"550 Côté street, Ottawa, ON","550 Côté street, Ottawa, ON"
2537,way,45.4323779,-75.6795519,,141,Augusta Street,apartments,"141 Augusta street, Ottawa, ON","141 Augusta street, Ottawa, ON"
223046,way,45.3620167,-75.7300544,,48,Northview Road,apartments,"48 Northview road, Ottawa, ON","48 Northview road, Ottawa, ON"
