,osm_obj_type,id,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
210069,way,557193485,45.2064303,-76.0155849,,1,Links Drive,detached,"1 Links drive, Ottawa, ON","1 Links drive, Ottawa, ON"
167807,way,483110957,45.3995978,-75.631086,,848,Hamlet Road,detached,"848 Hamlet road, Ottawa, ON","848 Hamlet road, Ottawa, ON"
97576,way,472410285,45.4718535,-75.5065814,,292,Amiens Street,detached,"292 Amiens street, Ottawa, ON","292 Amiens street, Ottawa, ON"
72572,way,471995008,45.2493971,-75.6041814,,1298,Fox Valley Road,detached,"1298 Fox valley road, Ottawa, ON","1298 Fox valley road, Ottawa, ON"
49153,way,471132443,45.2541357,-75.9087392,,63,Cherry Drive,detached,"63 Cherry drive, Ottawa, ON","63 Cherry drive, Ottawa, ON"
55575,way,471309224,45.2808699,-75.736355,,18,Golders Green Lane,detached,"18 Golders green lane, Ottawa, ON","18 Golders green lane, Ottawa, ON"
211183,way,557777550,45.3803571,-75.9728357,,348,Hedley Way,detached,"348 Hedley way, Ottawa, ON","348 Hedley way, Ottawa, ON"
82613,way,472241052,45.4772073,-75.4786429,,927,Como Crescent,detached,"927 Como crescent, Ottawa, ON","927 Como crescent, Ottawa, ON"
54251,way,471307687,45.2810125,-75.733621,,297,Berrigan Drive,detached,"297 Berrigan drive, Ottawa, ON","297 Berrigan drive, Ottawa, ON"
136810,way,478631571,45.4409298,-75.6658477,,131,Ste-Cécile Street,detached,"131 Ste-cécile street, Ottawa, ON","131 Ste-cécile street, Ottawa, ON"
126932,way,474458726,45.4029086,-75.6860197,,74,Fourth Avenue,detached,"74 Fourth avenue, Ottawa, ON","74 Fourth avenue, Ottawa, ON"
130016,way,474720121,45.3526361,-75.7734963,,2424,Cheshire Road,detached,"2424 Cheshire road, Ottawa, ON","2424 Cheshire road, Ottawa, ON"
90758,way,472377569,45.3041803,-75.8816786,,348,Pickford Drive,detached,"348 Pickford drive, Ottawa, ON","348 Pickford drive, Ottawa, ON"
112971,way,473191474,45.352796,-75.8351959,,1,Sunny Brae Avenue,detached,"1 Sunny brae avenue, Ottawa, ON","1 Sunny brae avenue, Ottawa, ON"
91420,way,472378282,45.2919969,-75.8906491,,69,Winchester Drive,detached,"69 Winchester drive, Ottawa, ON","69 Winchester drive, Ottawa, ON"
161323,way,482705148,45.3974479,-75.6269662,,925,Chapman Boulevard,detached,"925 Chapman boulevard, Ottawa, ON","925 Chapman boulevard, Ottawa, ON"
43219,way,470857329,45.2778143,-75.7734145,,51,Otten Drive,detached,"51 Otten drive, Ottawa, ON","51 Otten drive, Ottawa, ON"
73634,way,472146759,45.424686,-75.5198285,,118,Felicity Crescent,detached,"118 Felicity crescent, Ottawa, ON","118 Felicity crescent, Ottawa, ON"
233135,way,576474865,45.3703815,-75.3795042,,5128,Frank Kenny Road,detached,"5128 Frank kenny road, Ottawa, ON","5128 Frank kenny road, Ottawa, ON"
60880,way,471616981,45.2653998,-75.9167504,,4,Red Oaks Trail,detached,"4 Red oaks trail, Ottawa, ON","4 Red oaks trail, Ottawa, ON"
84100,way,472251004,45.4732496,-75.487322,,594,Merkley Drive,detached,"594 Merkley drive, Ottawa, ON","594 Merkley drive, Ottawa, ON"
238721,way,580571247,45.4975994,-75.4710844,,411,Famille-Laporte Avenue,detached,"411 Famille-laporte avenue, Ottawa, ON","411 Famille-laporte avenue, Ottawa, ON"
88572,way,472317965,45.287706,-75.883323,,96,Sheldrake Drive,detached,"96 Sheldrake drive, Ottawa, ON","96 Sheldrake drive, Ottawa, ON"
90408,way,472365288,45.3079756,-75.8913458,,4,Nanook Crescent,detached,"4 Nanook crescent, Ottawa, ON","4 Nanook crescent, Ottawa, ON"
139677,way,478969380,45.3927673,-75.7570642,,355,Winston Avenue,detached,"355 Winston avenue, Ottawa, ON","355 Winston avenue, Ottawa, ON"
90848,way,472377669,45.2980009,-75.8794314,,127,Abbeyhill Drive,detached,"127 Abbeyhill drive, Ottawa, ON","127 Abbeyhill drive, Ottawa, ON"
168218,way,483208843,45.4065608,-75.6401073,,1593,Chaucer Avenue,detached,"1593 Chaucer avenue, Ottawa, ON","1593 Chaucer avenue, Ottawa, ON"
48340,way,471131497,45.2453879,-75.9131266,,11,Etta Street,detached,"11 Etta street, Ottawa, ON","11 Etta street, Ottawa, ON"
67680,way,471839018,45.4661018,-75.4786369,,2052,Gardenway Drive,detached,"2052 Gardenway drive, Ottawa, ON","2052 Gardenway drive, Ottawa, ON"
146897,way,479765563,45.3598177,-75.7294717,,18,Beaver Ridge,detached,"18 Beaver ridge, Ottawa, ON","18 Beaver ridge, Ottawa, ON"
125226,way,474371907,45.4476815,-75.6710884,,475,Maple Lane,detached,"475 Maple lane, Ottawa, ON","475 Maple lane, Ottawa, ON"
83071,way,472249188,45.4847823,-75.4855625,,704,Princess Louise Drive,detached,"704 Princess louise drive, Ottawa, ON","704 Princess louise drive, Ottawa, ON"
124510,way,474256468,45.3574544,-75.6666025,,960,Plante Drive,detached,"960 Plante drive, Ottawa, ON","960 Plante drive, Ottawa, ON"
90629,way,472365715,45.3108679,-75.8872012,,1,Larsen Court,detached,"1 Larsen court, Ottawa, ON","1 Larsen court, Ottawa, ON"
92917,way,472389132,45.3200823,-75.6065337,,142,Mangrove Crescent,detached,"142 Mangrove crescent, Ottawa, ON","142 Mangrove crescent, Ottawa, ON"
179797,way,484343100,45.4558193,-75.5378146,,1629,Country Walk Drive,detached,"1629 Country walk drive, Ottawa, ON","1629 Country walk drive, Ottawa, ON"
208326,way,555867675,45.3092629,-76.1326213,,2195,Marshwood Road,detached,"2195 Marshwood road, Ottawa, ON","2195 Marshwood road, Ottawa, ON"
217317,way,562823458,45.3929593,-75.9761573,,13,Lillian Way,detached,"13 Lillian way, Ottawa, ON","13 Lillian way, Ottawa, ON"
104419,way,472806976,45.2950583,-75.858076,,21,Sauble Drive,detached,"21 Sauble drive, Ottawa, ON","21 Sauble drive, Ottawa, ON"
100538,way,472631064,45.2818635,-75.8594724,,6,Bluegrass Drive,detached,"6 Bluegrass drive, Ottawa, ON","6 Bluegrass drive, Ottawa, ON"
174441,way,483708370,45.3835682,-75.636075,,1989,Connecticut Avenue,detached,"1989 Connecticut avenue, Ottawa, ON","1989 Connecticut avenue, Ottawa, ON"
153574,way,481368444,45.4437815,-75.6544316,,426,Pauline-Charron Place,detached,"426 Pauline-charron place, Ottawa, ON","426 Pauline-charron place, Ottawa, ON"
