,osm_obj_type,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
273327,way,45.0162837,-75.6439099,,25-27,Asa Street,semi,"25-27 Asa street, Ottawa, ON","25-27 Asa street, Ottawa, ON"
284117,way,45.0160931,-75.6435657,,24,Asa Street,semi,"24 Asa street, Ottawa, ON","24 Asa street, Ottawa, ON"
284118,way,45.0161678,-75.6440147,,21,Asa Street,semi,"21 Asa street, Ottawa, ON","21 Asa street, Ottawa, ON"
284119,way,45.0160312,-75.6436169,,22,Asa Street,semi,"22 Asa street, Ottawa, ON","22 Asa street, Ottawa, ON"
284122,way,45.0162085,-75.6439711,,23,Asa Street,semi,"23 Asa street, Ottawa, ON","23 Asa street, Ottawa, ON"
284132,way,45.0175119,-75.6425421,,205,Asa Street,semi,"205 Asa street, Ottawa, ON","205 Asa street, Ottawa, ON"
284136,way,45.0177329,-75.6423216,,213,Asa Street,semi,"213 Asa street, Ottawa, ON","213 Asa street, Ottawa, ON"
284137,way,45.0178828,-75.6421182,,219,Asa Street,semi,"219 Asa street, Ottawa, ON","219 Asa street, Ottawa, ON"
284140,way,45.0175548,-75.6424956,,207,Asa Street,semi,"207 Asa street, Ottawa, ON","207 Asa street, Ottawa, ON"
284141,way,45.0177647,-75.6422894,,215,Asa Street,semi,"215 Asa street, Ottawa, ON","215 Asa street, Ottawa, ON"
284142,way,45.0179201,-75.6420802,,221,Asa Street,semi,"221 Asa street, Ottawa, ON","221 Asa street, Ottawa, ON"
