row,osm_obj_type,id,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address,attached_buildings
2276,way,155041644,45.397885,-75.7447516,,326,Island Park Drive,detached,"326 Island park drive, Ottawa, ON","326 Island park drive, Ottawa, ON",1
2739,way,171299476,45.3969909,-75.7306183,,200,Holland Avenue,detached,"200 Holland avenue, Ottawa, ON","200 Holland avenue, Ottawa, ON",1
3062,way,198068954,45.3944163,-75.7438894,,125,Shannon Street,detached,"125 Shannon street, Ottawa, ON","125 Shannon street, Ottawa, ON",1
4659,way,238903197,45.398466,-75.7274641,,475,Parkdale Avenue,detached,"475 Parkdale avenue, Ottawa, ON","475 Parkdale avenue, Ottawa, ON",1
5035,way,246522230,45.2060071,-76.052859,,8511,McArton Road,detached,"8511 Mcarton road, Ottawa, ON","8511 Mcarton road, Ottawa, ON",1
5128,way,247896260,45.3968648,-75.7414078,,379,Island Park Drive,detached,"379 Island park drive, Ottawa, ON","379 Island park drive, Ottawa, ON",1
5141,way,247896273,45.3957959,-75.7415973,,402,Island Park Drive,detached,"402 Island park drive, Ottawa, ON","402 Island park drive, Ottawa, ON",1
5148,way,247896280,45.3967323,-75.7421556,,376,Island Park Drive,detached,"376 Island park drive, Ottawa, ON","376 Island park drive, Ottawa, ON",1
5155,way,247897595,45.3941222,-75.7405905,,446,Island Park Drive,detached,"446 Island park drive, Ottawa, ON","446 Island park drive, Ottawa, ON",1
5165,way,247898317,45.4123367,-75.6736161,,71,Chestnut Street,detached,"71 Chestnut street, Ottawa, ON","71 Chestnut street, Ottawa, ON",1
5175,way,248126738,45.3946064,-75.7400672,,441,Island Park Drive,detached,"441 Island park drive, Ottawa, ON","441 Island park drive, Ottawa, ON",1
5252,way,249274174,45.3965809,-75.6784168,,167,Sunnyside Avenue,detached,"167 Sunnyside avenue, Ottawa, ON","167 Sunnyside avenue, Ottawa, ON",1
5273,way,249315037,45.4491965,-75.6747733,,387,Mariposa Avenue,detached,"387 Mariposa avenue, Ottawa, ON","387 Mariposa avenue, Ottawa, ON",1
5274,way,249315051,45.4486991,-75.6742368,,195,Acacia Avenue,detached,"195 Acacia avenue, Ottawa, ON","195 Acacia avenue, Ottawa, ON",1
5281,way,249388182,45.4471735,-75.6745224,,382,Ashbury Road,detached,"382 Ashbury road, Ottawa, ON","382 Ashbury road, Ottawa, ON",1
5632,way,255372065,45.4334736,-75.673876,,644,Rideau Street,detached,"644 Rideau street, Ottawa, ON","644 Rideau street, Ottawa, ON",1
5704,way,255474941,45.3986457,-75.7344623,,7,Julian Avenue,detached,"7 Julian avenue, Ottawa, ON","7 Julian avenue, Ottawa, ON",1
5749,way,255865905,45.2904991,-75.5940569,,2758,Rideau Road,detached,"2758 Rideau road, Ottawa, ON","2758 Rideau road, Ottawa, ON",1
5788,way,256661234,45.392588,-75.7490591,,425,Tweedsmuir Avenue,detached,"425 Tweedsmuir avenue, Ottawa, ON","425 Tweedsmuir avenue, Ottawa, ON",1
5927,way,257904948,45.3767249,-75.7538098,,813,Broadview Avenue,detached,"813 Broadview avenue, Ottawa, ON","813 Broadview avenue, Ottawa, ON",1
6079,way,259001356,45.3918267,-75.7268037,,429,Holland Avenue,detached,"429 Holland avenue, Ottawa, ON","429 Holland avenue, Ottawa, ON",1
6101,way,259152023,45.3899991,-75.7269898,,773,Island Park Drive,detached,"773 Island park drive, Ottawa, ON","773 Island park drive, Ottawa, ON",1
6137,way,259238344,45.3891814,-75.7275007,,1135,Carling Avenue,detached,"1135 Carling avenue, Ottawa, ON","1135 Carling avenue, Ottawa, ON",1
6147,way,259244039,45.3928478,-75.7270184,,103,Ruskin Street,detached,"103 Ruskin street, Ottawa, ON","103 Ruskin street, Ottawa, ON",1
6178,way,259291275,45.3912904,-75.728853,,271,Harmer Avenue South,detached,"271 Harmer avenue south, Ottawa, ON","271 Harmer avenue south, Ottawa, ON",1
6228,way,259355226,45.3911736,-75.7324039,,172,Ruskin Street,detached,"172 Ruskin street, Ottawa, ON","172 Ruskin street, Ottawa, ON",1
6277,way,260371475,45.3915388,-75.7238514,,750,Parkdale Avenue,detached,"750 Parkdale avenue, Ottawa, ON","750 Parkdale avenue, Ottawa, ON",1
6300,way,260749230,45.4434138,-75.6920477,,31,MacKay Street,detached,"31 Mackay street, Ottawa, ON","31 Mackay street, Ottawa, ON",1
6329,way,261629531,45.3958137,-75.7277307,,339,Sherwood Drive,detached,"339 Sherwood drive, Ottawa, ON","339 Sherwood drive, Ottawa, ON",1
6340,way,261636785,45.3928104,-75.7246123,,728,Parkdale Avenue,detached,"728 Parkdale avenue, Ottawa, ON","728 Parkdale avenue, Ottawa, ON",1
6358,way,261716416,45.3939226,-75.7258198,,379,Hamilton Avenue South,detached,"379 Hamilton avenue south, Ottawa, ON","379 Hamilton avenue south, Ottawa, ON",1
6403,way,261880065,45.393014,-75.7305082,,240,Harmer Avenue South,detached,"240 Harmer avenue south, Ottawa, ON","240 Harmer avenue south, Ottawa, ON",1
6415,way,261880082,45.3922484,-75.7300588,,252,Harmer Avenue South,detached,"252 Harmer avenue south, Ottawa, ON","252 Harmer avenue south, Ottawa, ON",1
6527,way,262793551,45.3953574,-75.7261509,,592,Parkdale Avenue,detached,"592 Parkdale avenue, Ottawa, ON","592 Parkdale avenue, Ottawa, ON",1
6529,way,262798622,45.395453,-75.7262056,,584,Parkdale Avenue,detached,"584 Parkdale avenue, Ottawa, ON","584 Parkdale avenue, Ottawa, ON",1
6531,way,262798624,45.3956787,-75.7269045,,347,Hamilton Avenue South,detached,"347 Hamilton avenue south, Ottawa, ON","347 Hamilton avenue south, Ottawa, ON",1
6584,way,262909667,45.3960776,-75.7562202,,275,Churchill Avenue North,detached,"275 Churchill avenue north, Ottawa, ON","275 Churchill avenue north, Ottawa, ON",1
6653,way,264021572,45.3912933,-75.7335167,,16,Edina Street,detached,"16 Edina street, Ottawa, ON","16 Edina street, Ottawa, ON",1
6683,way,264029425,45.3919629,-75.7338929,,40,Geneva Street,detached,"40 Geneva street, Ottawa, ON","40 Geneva street, Ottawa, ON",1
6696,way,264034217,45.3930278,-75.7329508,,40,Helena Street,detached,"40 Helena street, Ottawa, ON","40 Helena street, Ottawa, ON",1
6704,way,264034228,45.3927625,-75.7328125,,15,Geneva Street,detached,"15 Geneva street, Ottawa, ON","15 Geneva street, Ottawa, ON",1
6721,way,264093708,45.4013114,-75.7489689,,200,Island Park Drive,detached,"200 Island park drive, Ottawa, ON","200 Island park drive, Ottawa, ON",1
6722,way,264093709,45.4004135,-75.7484506,,232,Island Park Drive,detached,"232 Island park drive, Ottawa, ON","232 Island park drive, Ottawa, ON",1
6950,way,264853905,45.3926801,-75.7341549,,52,Helena Street,detached,"52 Helena street, Ottawa, ON","52 Helena street, Ottawa, ON",1
7068,way,277957587,45.1328933,-75.8821432,,7555,Soldier's Line,detached,"7555 Soldier's line, Ottawa, ON","7555 Soldier's line, Ottawa, ON",1
7076,way,278121064,45.040741,-75.8696876,,6618,Dwyer Hill Road,detached,"6618 Dwyer hill road, Ottawa, ON","6618 Dwyer hill road, Ottawa, ON",1
7080,way,278121213,45.029009,-75.8608675,,6810,Dwyer Hill Road,detached,"6810 Dwyer hill road, Ottawa, ON","6810 Dwyer hill road, Ottawa, ON",1
