,osm_obj_type,id,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
2435,way,160951678,45.3809759,-75.7322139,,1167,Dover Crescent,apartments,"1167 Dover crescent, Ottawa, ON","1167 Dover crescent, Ottawa, ON"
247228,way,584077992,45.4344797,-75.6898218,,256,Bruyère Street,apartments,"256 Bruyère street, Ottawa, ON","256 Bruyère street, Ottawa, ON"
52,way,31813293,45.4179151,-75.6950353,,257,Lisgar Street,apartments,"257 Lisgar street, Ottawa, ON","257 Lisgar street, Ottawa, ON"
4584,way,237756912,45.4277488,-75.6855623,,238,Besserer Street,apartments,"238 Besserer street, Ottawa, ON","238 Besserer street, Ottawa, ON"
9504,way,320910183,45.4274237,-75.6670411,,969,North River Road,apartments,"969 North river road, Ottawa, ON","969 North river road, Ottawa, ON"
4756,way,241727515,45.3476709,-75.8100069,,49,Woodridge Crescent,apartments,"49 Woodridge crescent, Ottawa, ON","49 Woodridge crescent, Ottawa, ON"
13390,way,388806108,45.3815869,-75.769541,,542,Redwood Avenue,apartments,"542 Redwood avenue, Ottawa, ON","542 Redwood avenue, Ottawa, ON"
87127,way,472269677,45.3427644,-75.7864692,,1322,McWatters Road,apartments,"1322 Mcwatters road, Ottawa, ON","1322 Mcwatters road, Ottawa, ON"
1301,way,68661182,45.4053345,-75.7111837,,865,Gladstone Avenue,apartments,"865 Gladstone avenue, Ottawa, ON","865 Gladstone avenue, Ottawa, ON"
56886,way,471315146,45.2829475,-75.7129898,,165,Waterbridge Drive,apartments,"165 Waterbridge drive, Ottawa, ON","165 Waterbridge drive, Ottawa, ON"
219719,way,564775315,45.2724051,-75.7083136,,585,Stonefield Private,apartments,"585 Stonefield private, Ottawa, ON","585 Stonefield private, Ottawa, ON"
7942,way,307097154,45.3777955,-75.7391324,,1435,Larose Avenue,apartments,"1435 Larose avenue, Ottawa, ON","1435 Larose avenue, Ottawa, ON"
246945,way,584069879,45.4330872,-75.6974792,,80,Bolton Street,apartments,"80 Bolton street, Ottawa, ON","80 Bolton street, Ottawa, ON"
7426,way,288932675,45.3749278,-75.7587829,,800,Riddell Avenue North,apartments,"800 Riddell avenue north, Ottawa, ON","800 Riddell avenue north, Ottawa, ON"
166429,way,483073628,45.432513,-75.5638546,,2645,Innes Road,apartments,"2645 Innes road, Ottawa, ON","2645 Innes road, Ottawa, ON"
2581,way,167410333,45.4177353,-75.6975793,,171,Nepean Street,apartments,"171 Nepean street, Ottawa, ON","171 Nepean street, Ottawa, ON"
188892,way,485588258,45.4420727,-75.6726805,,9,Chapleau Avenue,apartments,"9 Chapleau avenue, Ottawa, ON","9 Chapleau avenue, Ottawa, ON"
42728,way,470836296,45.272259,-75.7085653,,575,Stonefield Private,apartments,"575 Stonefield private, Ottawa, ON","575 Stonefield private, Ottawa, ON"
9605,way,321903752,45.4307159,-75.653149,,388,Irwin Miller Street,apartments,"388 Irwin miller street, Ottawa, ON","388 Irwin miller street, Ottawa, ON"
3699,way,229467570,45.4169233,-75.7123908,,200,Lett Street,apartments,"200 Lett street, Ottawa, ON","200 Lett street, Ottawa, ON"
255174,way,596706566,45.4093165,-75.6527804,,1432,Station Boulevard,apartments,"1432 Station boulevard, Ottawa, ON","1432 Station boulevard, Ottawa, ON"
6877,way,264547196,45.4061464,-75.7304678,,202,Hinchey Avenue,apartments,"202 Hinchey avenue, Ottawa, ON","202 Hinchey avenue, Ottawa, ON"
142263,way,479507141,45.4013315,-75.7024508,,385,Bell Street South,apartments,"385 Bell street south, Ottawa, ON","385 Bell street south, Ottawa, ON"
4708,way,239932164,45.4185861,-75.687936,,61,Cartier Street,apartments,"61 Cartier street, Ottawa, ON","61 Cartier street, Ottawa, ON"
2638,way,167819589,45.4252945,-75.6801642,,315,Nelson Street,apartments,"315 Nelson street, Ottawa, ON","315 Nelson street, Ottawa, ON"
404,way,68586619,45.4456278,-75.6455651,,270,Brittany Drive,apartments,"270 Brittany drive, Ottawa, ON","270 Brittany drive, Ottawa, ON"
10845,way,369252463,45.3778627,-75.7288776,,1276,Dorchester Avenue,apartments,"1276 Dorchester avenue, Ottawa, ON","1276 Dorchester avenue, Ottawa, ON"
5818,way,257161116,45.3730214,-75.7634795,40,800,Melwood Avenue,apartments,"40-800 Melwood avenue, Ottawa, ON","800 Melwood avenue, Ottawa, ON"
260,way,60974191,45.394141,-75.7564411,,2100,Scott Street,apartments,"2100 Scott street, Ottawa, ON","2100 Scott street, Ottawa, ON"
6051,way,258480306,45.3964495,-75.7136283,,314,Breezehill Avenue South,apartments,"314 Breezehill avenue south, Ottawa, ON","314 Breezehill avenue south, Ottawa, ON"
4351,way,236482063,45.4015226,-75.7256517,,31,Rosemount Avenue,apartments,"31 Rosemount avenue, Ottawa, ON","31 Rosemount avenue, Ottawa, ON"
9589,way,321903571,45.4325857,-75.6558658,,355,Lacasse Avenue,apartments,"355 Lacasse avenue, Ottawa, ON","355 Lacasse avenue, Ottawa, ON"
248964,way,585009124,45.4286562,-75.6786059,,379,Wilbrod Street,apartments,"379 Wilbrod street, Ottawa, ON","379 Wilbrod street, Ottawa, ON"
288636,way,638281702,45.434034,-75.6532931,,380,Blake Boulevard,apartments,"380 Blake boulevard, Ottawa, ON","380 Blake boulevard, Ottawa, ON"
64875,way,471807068,45.4530881,-75.4850754,,145,Bluestone Private,apartments,"145 Bluestone private, Ottawa, ON","145 Bluestone private, Ottawa, ON"
3542,way,213855963,45.4039311,-75.7202475,,71,Spadina Avenue,apartments,"71 Spadina avenue, Ottawa, ON","71 Spadina avenue, Ottawa, ON"
19557,way,460116741,45.4349174,-75.6880883,,3,Rose Street,apartments,"3 Rose street, Ottawa, ON","3 Rose street, Ottawa, ON"
256104,way,598657015,45.4012984,-75.7284067,,1171,Wellington Street West,apartments,"1171 Wellington street west, Ottawa, ON","1171 Wellington street west, Ottawa, ON"
136502,way,478631205,45.4420591,-75.6700554,,30,Ste-Cécile Street,apartments,"30 Ste-cécile street, Ottawa, ON","30 Ste-cécile street, Ottawa, ON"
288297,way,634349842,45.4309636,-75.6950776,,75,Guigues Avenue,apartments,"75 Guigues avenue, Ottawa, ON","75 Guigues avenue, Ottawa, ON"
253120,way,589548163,45.4128443,-75.6977681,,482,Gilmour Street,apartments,"482 Gilmour street, Ottawa, ON","482 Gilmour street, Ottawa, ON"
5944,way,258069673,45.3964427,-75.7119671,,330,Loretta Avenue South,apartments,"330 Loretta avenue south, Ottawa, ON","330 Loretta avenue south, Ottawa, ON"
60485,way,471521668,45.2611458,-75.9152809,,47,Orville Street,apartments,"47 Orville street, Ottawa, ON","47 Orville street, Ottawa, ON"
5336,way,250695393,45.3997265,-75.6871147,,151,Holmwood Avenue,apartments,"151 Holmwood avenue, Ottawa, ON","151 Holmwood avenue, Ottawa, ON"
239329,way,580989838,45.4347093,-75.6527374,,386,Richelieu Avenue,apartments,"386 Richelieu avenue, Ottawa, ON","386 Richelieu avenue, Ottawa, ON"
4951,way,244441763,45.4164015,-75.708003,,494,Albert Street,apartments,"494 Albert street, Ottawa, ON","494 Albert street, Ottawa, ON"
