,osm_obj_type,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
6720,way,45.4007177,-75.7484782,,224,Island Park Drive,house,"224 Island park drive, Ottawa, ON","224 Island park drive, Ottawa, ON"
235864,way,45.4281415,-75.620405,320.0,1441,Palmerston Drive,house,"320-1441 Palmerston drive, Ottawa, ON","1441 Palmerston drive, Ottawa, ON"
247496,way,45.4440046,-75.6011855,,913 G,Elmsmere Road,house,"913 G Elmsmere road, Ottawa, ON","913 G Elmsmere road, Ottawa, ON"
91587,way,45.3044148,-75.8792354,,38,Bachman Terrace,house,"38 Bachman terrace, Ottawa, ON","38 Bachman terrace, Ottawa, ON"
221367,way,45.4205822,-75.5978355,,2123,Stonehenge Crescent,house,"2123 Stonehenge crescent, Ottawa, ON","2123 Stonehenge crescent, Ottawa, ON"
260579,way,45.3629055,-75.7949745,,348,Britannia Road,house,"348 Britannia road, Ottawa, ON","348 Britannia road, Ottawa, ON"
298446,way,45.3947359,-75.718223,,49,Gwynne Avenue,house,"49 Gwynne avenue, Ottawa, ON","49 Gwynne avenue, Ottawa, ON"
159264,way,45.3468393,-75.6596092,,3457,Wyman Crescent,house,"3457 Wyman crescent, Ottawa, ON","3457 Wyman crescent, Ottawa, ON"
77956,way,45.476259,-75.4690311,,1554,Lisbon Street,house,"1554 Lisbon street, Ottawa, ON","1554 Lisbon street, Ottawa, ON"
8125,way,45.471538,-75.4947522,,401,Phoenix Crescent,house,"401 Phoenix crescent, Ottawa, ON","401 Phoenix crescent, Ottawa, ON"
150371,way,45.3447982,-75.6688846,,90,Erin Crescent,house,"90 Erin crescent, Ottawa, ON","90 Erin crescent, Ottawa, ON"
284758,way,45.3258508,-75.7009031,,20,Waterford Way,house,"20 Waterford way, Ottawa, ON","20 Waterford way, Ottawa, ON"
202641,way,45.3707364,-75.7724358,,469,Ancaster Avenue,house,"469 Ancaster avenue, Ottawa, ON","469 Ancaster avenue, Ottawa, ON"
114668,way,45.4431409,-75.6007209,,1886,Elmridge Drive,house,"1886 Elmridge drive, Ottawa, ON","1886 Elmridge drive, Ottawa, ON"
229587,way,45.446321,-75.6458228,,409,Brittany Drive,house,"409 Brittany drive, Ottawa, ON","409 Brittany drive, Ottawa, ON"
37874,way,45.2728153,-75.7483833,,23,Bartley Crescent,house,"23 Bartley crescent, Ottawa, ON","23 Bartley crescent, Ottawa, ON"
242663,way,45.3712443,-75.6104732,,12,Esson Street,house,"12 Esson street, Ottawa, ON","12 Esson street, Ottawa, ON"
196067,way,45.3293818,-75.792467,,1,Cramer Drive,house,"1 Cramer drive, Ottawa, ON","1 Cramer drive, Ottawa, ON"
8799,way,45.3685031,-75.7992962,,155,Bradford Street,house,"155 Bradford street, Ottawa, ON","155 Bradford street, Ottawa, ON"
198914,way,45.3602719,-75.7452908,,1322,Henry Farm Drive,house,"1322 Henry farm drive, Ottawa, ON","1322 Henry farm drive, Ottawa, ON"
130832,way,45.3723628,-75.7576138,,1885,Lenester Avenue,house,"1885 Lenester avenue, Ottawa, ON","1885 Lenester avenue, Ottawa, ON"
155418,way,45.4354559,-75.6804643,,9,Desjardins Avenue,house,"9 Desjardins avenue, Ottawa, ON","9 Desjardins avenue, Ottawa, ON"
129869,way,45.3525339,-75.7745091,,1244,Highgate Road,house,"1244 Highgate road, Ottawa, ON","1244 Highgate road, Ottawa, ON"
18686,way,45.4318833,-75.6922791,,164 A,Guigues Avenue,house,"164 A Guigues avenue, Ottawa, ON","164 A Guigues avenue, Ottawa, ON"
249762,way,45.4227742,-75.6568055,,224,Presland Road,house,"224 Presland road, Ottawa, ON","224 Presland road, Ottawa, ON"
139093,way,45.4008292,-75.7138469,,221,Loretta Avenue South,house,"221 Loretta avenue south, Ottawa, ON","221 Loretta avenue south, Ottawa, ON"
57805,way,45.2809042,-75.7140478,,94,Whetstone Crescent,house,"94 Whetstone crescent, Ottawa, ON","94 Whetstone crescent, Ottawa, ON"
19532,way,45.4344598,-75.6889062,,279,St. Andrew Street,house,"279 St. andrew street, Ottawa, ON","279 St. andrew street, Ottawa, ON"
229699,way,45.4512497,-75.594257,62.0,837,Eastvale Drive,house,"62-837 Eastvale drive, Ottawa, ON","837 Eastvale drive, Ottawa, ON"
235977,way,45.4193267,-75.6117318,,1380,Foxwell Street,house,"1380 Foxwell street, Ottawa, ON","1380 Foxwell street, Ottawa, ON"
92906,way,45.3148144,-75.5989859,,4276,Kelly Farm Drive,house,"4276 Kelly farm drive, Ottawa, ON","4276 Kelly farm drive, Ottawa, ON"
229774,way,45.4507589,-75.5955578,56.0,2300,Ogilvie Road,house,"56-2300 Ogilvie road, Ottawa, ON","2300 Ogilvie road, Ottawa, ON"
165684,way,45.3800653,-75.674507,,1076,Aldéa Avenue,house,"1076 Aldéa avenue, Ottawa, ON","1076 Aldéa avenue, Ottawa, ON"
263395,way,45.2785234,-75.7307892,,24,Palmadeo Drive,house,"24 Palmadeo drive, Ottawa, ON","24 Palmadeo drive, Ottawa, ON"
9245,way,45.4111082,-75.6578036,,1508,Caledon Street,house,"1508 Caledon street, Ottawa, ON","1508 Caledon street, Ottawa, ON"
151634,way,45.4002669,-75.7527375,,12,Oak Park Private,house,"12 Oak park private, Ottawa, ON","12 Oak park private, Ottawa, ON"
235297,way,45.4371238,-75.6367261,,792,Rainsford Avenue,house,"792 Rainsford avenue, Ottawa, ON","792 Rainsford avenue, Ottawa, ON"
206079,way,45.4023893,-75.7432399,,217,Carleton Avenue,house,"217 Carleton avenue, Ottawa, ON","217 Carleton avenue, Ottawa, ON"
118969,way,45.3590095,-75.7446385,,1558,Baseline Road,house,"1558 Baseline road, Ottawa, ON","1558 Baseline road, Ottawa, ON"
22056,way,45.1363393,-75.6084445,,3393,Regburn Drive,house,"3393 Regburn drive, Ottawa, ON","3393 Regburn drive, Ottawa, ON"
20204,way,45.3533111,-76.0397182,,142,Charlie's Lane,house,"142 Charlie's lane, Ottawa, ON","142 Charlie's lane, Ottawa, ON"
174093,way,45.3803159,-75.646835,,1641,Heron Road,house,"1641 Heron road, Ottawa, ON","1641 Heron road, Ottawa, ON"
269838,way,45.43176,-75.5684508,,22,Southpark Drive,house,"22 Southpark drive, Ottawa, ON","22 Southpark drive, Ottawa, ON"
224253,way,45.3657938,-75.6304544,,65,Kimito Private,house,"65 Kimito private, Ottawa, ON","65 Kimito private, Ottawa, ON"
202585,way,45.378195,-75.77703,,2208,Deschênes Street,house,"2208 Deschênes street, Ottawa, ON","2208 Deschênes street, Ottawa, ON"
243080,way,45.3595259,-75.6464271,,3332,Albion Road South,house,"3332 Albion road south, Ottawa, ON","3332 Albion road south, Ottawa, ON"
41016,way,45.4581605,-75.4551212,,1865,Mickelberry Crescent,house,"1865 Mickelberry crescent, Ottawa, ON","1865 Mickelberry crescent, Ottawa, ON"
114176,way,45.3504194,-75.7205598,,58,Saginaw Crescent,house,"58 Saginaw crescent, Ottawa, ON","58 Saginaw crescent, Ottawa, ON"
220168,way,45.2722208,-75.7832755,,152,Hawkshaw Crescent,house,"152 Hawkshaw crescent, Ottawa, ON","152 Hawkshaw crescent, Ottawa, ON"
238566,way,45.3393308,-75.6334783,,111,Maple Key Private,house,"111 Maple key private, Ottawa, ON","111 Maple key private, Ottawa, ON"
224138,way,45.3787792,-75.7298707,,1275,Emperor Avenue,house,"1275 Emperor avenue, Ottawa, ON","1275 Emperor avenue, Ottawa, ON"
99289,way,45.2752412,-75.688022,,4258,Green Gables Lane,house,"4258 Green gables lane, Ottawa, ON","4258 Green gables lane, Ottawa, ON"
242987,way,45.3907951,-75.669112,,2064,Blossom Drive,house,"2064 Blossom drive, Ottawa, ON","2064 Blossom drive, Ottawa, ON"
41254,way,45.4593002,-75.4595364,,1985,Plainhill Drive,house,"1985 Plainhill drive, Ottawa, ON","1985 Plainhill drive, Ottawa, ON"
9291,way,45.4095622,-75.6478826,,504,Bloor Avenue,house,"504 Bloor avenue, Ottawa, ON","504 Bloor avenue, Ottawa, ON"
249633,way,45.4261606,-75.6339825,,4270,Weldon Drive,house,"4270 Weldon drive, Ottawa, ON","4270 Weldon drive, Ottawa, ON"
225998,way,45.3673894,-75.7060379,109.0,955,Debra Avenue,house,"109-955 Debra avenue, Ottawa, ON","955 Debra avenue, Ottawa, ON"
104960,way,45.350813,-75.709208,,30,Homestead Street,house,"30 Homestead street, Ottawa, ON","30 Homestead street, Ottawa, ON"
220434,way,45.3981457,-75.750682,,48,Metropole Private,house,"48 Metropole private, Ottawa, ON","48 Metropole private, Ottawa, ON"
242627,way,45.3706118,-75.610151,,10,Castonguay Private,house,"10 Castonguay private, Ottawa, ON","10 Castonguay private, Ottawa, ON"
143592,way,45.4236256,-75.6779715,,100,Sweetland Avenue,house,"100 Sweetland avenue, Ottawa, ON","100 Sweetland avenue, Ottawa, ON"
235768,way,45.4274311,-75.6234719,,1451,Perez Crescent,house,"1451 Perez crescent, Ottawa, ON","1451 Perez crescent, Ottawa, ON"
25934,way,45.3775748,-75.9387579,,1429,March Valley Road,house,"1429 March valley road, Ottawa, ON","1429 March valley road, Ottawa, ON"
114662,way,45.4426975,-75.6037858,,1840,Elmridge Drive,house,"1840 Elmridge drive, Ottawa, ON","1840 Elmridge drive, Ottawa, ON"
12731,way,45.3987739,-75.728167,,466,Parkdale Avenue,house,"466 Parkdale avenue, Ottawa, ON","466 Parkdale avenue, Ottawa, ON"
155240,way,45.4117333,-75.6754466,,189,Concord Street South,house,"189 Concord street south, Ottawa, ON","189 Concord street south, Ottawa, ON"
24460,way,45.3464725,-76.0028533,,111,Margaret Anne Drive,house,"111 Margaret anne drive, Ottawa, ON","111 Margaret anne drive, Ottawa, ON"
253126,way,45.4121091,-75.6991256,,379,Lyon Street North,house,"379 Lyon street north, Ottawa, ON","379 Lyon street north, Ottawa, ON"
199513,way,45.3465273,-75.8154739,,27,Creek's End Lane,house,"27 Creek's end lane, Ottawa, ON","27 Creek's end lane, Ottawa, ON"
114390,way,45.3514616,-75.7279588,,58 B,Chesterton Drive,house,"58 B Chesterton drive, Ottawa, ON","58 B Chesterton drive, Ottawa, ON"
18901,way,45.4315454,-75.6948487,,92,St. Andrew Street,house,"92 St. andrew street, Ottawa, ON","92 St. andrew street, Ottawa, ON"
