,osm_obj_type,id,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
83650,way,472250355,45.3256551,-75.792161,,89,Hobart Crescent,house,"89 Hobart crescent, Ottawa, ON","89 Hobart crescent, Ottawa, ON"
149118,way,479919536,45.3675926,-75.7091288,,1392,Claymor Avenue,house,"1392 Claymor avenue, Ottawa, ON","1392 Claymor avenue, Ottawa, ON"
19451,way,459931182,45.4506252,-75.6144298,,9,Davidson Drive,house,"9 Davidson drive, Ottawa, ON","9 Davidson drive, Ottawa, ON"
173387,way,483660201,45.3615552,-75.6467673,,36,Greenboro Crescent,house,"36 Greenboro crescent, Ottawa, ON","36 Greenboro crescent, Ottawa, ON"
146831,way,479764125,45.4360397,-75.6267953,,970,Charlton Drive,house,"970 Charlton drive, Ottawa, ON","970 Charlton drive, Ottawa, ON"
278948,way,618131457,45.4440197,-75.6780896,,77,Rideau Terrace,house,"77 Rideau terrace, Ottawa, ON","77 Rideau terrace, Ottawa, ON"
119371,way,474000742,45.3590093,-75.7460038,,1587,Baseline Road,house,"1587 Baseline road, Ottawa, ON","1587 Baseline road, Ottawa, ON"
235427,way,578580143,45.4339133,-75.6371186,,878,Borthwick Avenue,house,"878 Borthwick avenue, Ottawa, ON","878 Borthwick avenue, Ottawa, ON"
15003,way,427694434,45.2785885,-75.7532708,,120,Burnett's Grove Circle,house,"120 Burnett's grove circle, Ottawa, ON","120 Burnett's grove circle, Ottawa, ON"
266092,way,614352120,45.2828999,-75.8690952,,662,Moorpark Avenue,house,"662 Moorpark avenue, Ottawa, ON","662 Moorpark avenue, Ottawa, ON"
104126,way,472772189,45.304063,-75.8982116,,20,Naismith Crescent,house,"20 Naismith crescent, Ottawa, ON","20 Naismith crescent, Ottawa, ON"
241179,way,582007807,45.448047,-75.6316348,,548,Brunel Street,house,"548 Brunel street, Ottawa, ON","548 Brunel street, Ottawa, ON"
129283,way,474717236,45.3551479,-75.7924969,,2767,Harwood Avenue,house,"2767 Harwood avenue, Ottawa, ON","2767 Harwood avenue, Ottawa, ON"
45152,way,470870474,45.2837078,-75.7517914,,24,Foxfield Drive,house,"24 Foxfield drive, Ottawa, ON","24 Foxfield drive, Ottawa, ON"
64421,way,471797473,45.2724002,-75.9276753,,27,Stowgrass Crescent,house,"27 Stowgrass crescent, Ottawa, ON","27 Stowgrass crescent, Ottawa, ON"
196054,way,546731816,45.3321249,-75.7782613,,81,Craig Henry Drive,house,"81 Craig henry drive, Ottawa, ON","81 Craig henry drive, Ottawa, ON"
234570,way,578149575,45.3941092,-75.6108604,,2282 A,Russell Road,house,"2282 A Russell road, Ottawa, ON","2282 A Russell road, Ottawa, ON"
10184,way,356133419,45.3580599,-75.7730677,,2033,Kingsley Road,house,"2033 Kingsley road, Ottawa, ON","2033 Kingsley road, Ottawa, ON"
141762,way,479197023,45.2741135,-75.7613851,,196,Sherway Drive,house,"196 Sherway drive, Ottawa, ON","196 Sherway drive, Ottawa, ON"
206050,way,549075570,45.3981913,-75.7324953,,186,Huron Avenue North,house,"186 Huron avenue north, Ottawa, ON","186 Huron avenue north, Ottawa, ON"
271059,way,615295538,45.3800715,-75.6742668,,1084,Aldéa Avenue,house,"1084 Aldéa avenue, Ottawa, ON","1084 Aldéa avenue, Ottawa, ON"
242662,way,582717343,45.371216,-75.6104225,,14,Esson Street,house,"14 Esson street, Ottawa, ON","14 Esson street, Ottawa, ON"
19026,way,459246304,45.4338469,-75.6947313,,163,Cathcart Street,house,"163 Cathcart street, Ottawa, ON","163 Cathcart street, Ottawa, ON"
246113,way,583830552,45.4291252,-75.6516754,,379,Fullerton Avenue,house,"379 Fullerton avenue, Ottawa, ON","379 Fullerton avenue, Ottawa, ON"
196040,way,546731802,45.3313642,-75.7765561,,28,Shoreham Avenue,house,"28 Shoreham avenue, Ottawa, ON","28 Shoreham avenue, Ottawa, ON"
197865,way,546954139,45.3647089,-75.6868429,,730,Mooney's Bay Place,house,"730 Mooney's bay place, Ottawa, ON","730 Mooney's bay place, Ottawa, ON"
