,osm_obj_type,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
73805,way,45.4280769,-75.5203681,,6048,Renaud Road,semidetached_house,"6048 Renaud road, Ottawa, ON","6048 Renaud road, Ottawa, ON"
193036,way,45.3156722,-75.830019,,502,Moodie Drive,semidetached_house,"502 Moodie drive, Ottawa, ON","502 Moodie drive, Ottawa, ON"
193037,way,45.3158001,-75.8300678,,498,Moodie Drive,semidetached_house,"498 Moodie drive, Ottawa, ON","498 Moodie drive, Ottawa, ON"
195699,way,45.3156234,-75.8299812,,504,Moodie Drive,semidetached_house,"504 Moodie drive, Ottawa, ON","504 Moodie drive, Ottawa, ON"
195700,way,45.3157499,-75.8300283,,500,Moodie Drive,semidetached_house,"500 Moodie drive, Ottawa, ON","500 Moodie drive, Ottawa, ON"
195701,way,45.3159107,-75.8301191,,496,Moodie Drive,semidetached_house,"496 Moodie drive, Ottawa, ON","496 Moodie drive, Ottawa, ON"
289243,way,45.2848387,-75.2639657,,201,Belfort Street,semidetached_house,"201 Belfort street, Ottawa, ON","201 Belfort street, Ottawa, ON"
289244,way,45.2848015,-75.2640535,,203,Belfort Street,semidetached_house,"203 Belfort street, Ottawa, ON","203 Belfort street, Ottawa, ON"
289245,way,45.28476,-75.2641804,,205,Belfort Street,semidetached_house,"205 Belfort street, Ottawa, ON","205 Belfort street, Ottawa, ON"
289246,way,45.2847231,-75.2642765,,207,Belfort Street,semidetached_house,"207 Belfort street, Ottawa, ON","207 Belfort street, Ottawa, ON"
289247,way,45.2846735,-75.2644089,,209,Belfort Street,semidetached_house,"209 Belfort street, Ottawa, ON","209 Belfort street, Ottawa, ON"
289248,way,45.2846351,-75.2645053,,211,Belfort Street,semidetached_house,"211 Belfort street, Ottawa, ON","211 Belfort street, Ottawa, ON"
289249,way,45.284576,-75.2646833,,213,Belfort Street,semidetached_house,"213 Belfort street, Ottawa, ON","213 Belfort street, Ottawa, ON"
289250,way,45.2845718,-75.2647927,,215,Belfort Street,semidetached_house,"215 Belfort street, Ottawa, ON","215 Belfort street, Ottawa, ON"
289251,way,45.2846172,-75.2650191,,217,Belfort Street,semidetached_house,"217 Belfort street, Ottawa, ON","217 Belfort street, Ottawa, ON"
289252,way,45.2846656,-75.2651099,,219,Belfort Street,semidetached_house,"219 Belfort street, Ottawa, ON","219 Belfort street, Ottawa, ON"
289253,way,45.2847538,-75.2651872,,221,Belfort Street,semidetached_house,"221 Belfort street, Ottawa, ON","221 Belfort street, Ottawa, ON"
289254,way,45.28481,-75.2652624,,223,Belfort Street,semidetached_house,"223 Belfort street, Ottawa, ON","223 Belfort street, Ottawa, ON"
289255,way,45.2848934,-75.2653893,,225,Belfort Street,semidetached_house,"225 Belfort street, Ottawa, ON","225 Belfort street, Ottawa, ON"
289256,way,45.2849502,-75.2654695,,227,Belfort Street,semidetached_house,"227 Belfort street, Ottawa, ON","227 Belfort street, Ottawa, ON"
289257,way,45.2850393,-75.2655715,,229,Belfort Street,semidetached_house,"229 Belfort street, Ottawa, ON","229 Belfort street, Ottawa, ON"
289258,way,45.2850994,-75.2656253,,231,Belfort Street,semidetached_house,"231 Belfort street, Ottawa, ON","231 Belfort street, Ottawa, ON"
289259,way,45.2852055,-75.2657119,,233,Belfort Street,semidetached_house,"233 Belfort street, Ottawa, ON","233 Belfort street, Ottawa, ON"
289260,way,45.2852738,-75.2657556,,235,Belfort Street,semidetached_house,"235 Belfort street, Ottawa, ON","235 Belfort street, Ottawa, ON"
297600,way,45.4281337,-75.5202354,,6050,Renaud Road,semidetached_house,"6050 Renaud road, Ottawa, ON","6050 Renaud road, Ottawa, ON"
304641,way,45.3616812,-75.7841158,,859A,Connaught Avenue,semidetached_house,"859A Connaught avenue, Ottawa, ON","859A Connaught avenue, Ottawa, ON"
304642,way,45.3616162,-75.7840806,,859B,Connaught Avenue,semidetached_house,"859B Connaught avenue, Ottawa, ON","859B Connaught avenue, Ottawa, ON"
304643,way,45.3614789,-75.7840056,,861B,Connaught Avenue,semidetached_house,"861B Connaught avenue, Ottawa, ON","861B Connaught avenue, Ottawa, ON"
304644,way,45.3615435,-75.7840408,,861A,Connaught Avenue,semidetached_house,"861A Connaught avenue, Ottawa, ON","861A Connaught avenue, Ottawa, ON"
