,osm_obj_type,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
264557,way,45.2918314,-75.8474379,,27,Partridge Drive,terrace,"27 Partridge drive, Ottawa, ON","27 Partridge drive, Ottawa, ON"
255600,way,45.4501619,-75.5284175,,1734,Aspenview Way,terrace,"1734 Aspenview way, Ottawa, ON","1734 Aspenview way, Ottawa, ON"
42780,way,45.272843,-75.7070962,,39,Barnstone Drive,terrace,"39 Barnstone drive, Ottawa, ON","39 Barnstone drive, Ottawa, ON"
294451,way,45.4110972,-75.675125,,63,Oblats Avenue,terrace,"63 Oblats avenue, Ottawa, ON","63 Oblats avenue, Ottawa, ON"
285457,way,45.3578853,-75.6524926,217.0,3310,Southgate Road,terrace,"217-3310 Southgate road, Ottawa, ON","3310 Southgate road, Ottawa, ON"
254152,way,45.47356,-75.5081606,,102,Vieille-Caserne Private,terrace,"102 Vieille-caserne private, Ottawa, ON","102 Vieille-caserne private, Ottawa, ON"
279050,way,45.442945,-75.479914,,55,Astervale Street,terrace,"55 Astervale street, Ottawa, ON","55 Astervale street, Ottawa, ON"
274461,way,45.4710936,-75.4784383,,1963,Sunland Drive,terrace,"1963 Sunland drive, Ottawa, ON","1963 Sunland drive, Ottawa, ON"
280612,way,45.3366502,-75.7518766,,66 A,Brockington Crescent,terrace,"66 A Brockington crescent, Ottawa, ON","66 A Brockington crescent, Ottawa, ON"
191846,way,45.2624023,-75.7654139,,74,Danaher Drive,terrace,"74 Danaher drive, Ottawa, ON","74 Danaher drive, Ottawa, ON"
84128,way,45.4750594,-75.4933925,,1634,Cheevers Crescent,terrace,"1634 Cheevers crescent, Ottawa, ON","1634 Cheevers crescent, Ottawa, ON"
42223,way,45.2714525,-75.6963647,,549,Wild Shore Crescent,terrace,"549 Wild shore crescent, Ottawa, ON","549 Wild shore crescent, Ottawa, ON"
35524,way,45.2634974,-75.7648502,,173,Tartan Drive,terrace,"173 Tartan drive, Ottawa, ON","173 Tartan drive, Ottawa, ON"
184362,way,45.4707784,-75.531112,,1830,Axminster Court,terrace,"1830 Axminster court, Ottawa, ON","1830 Axminster court, Ottawa, ON"
190831,way,45.2985379,-75.8610741,,74,Waterton Crescent,terrace,"74 Waterton crescent, Ottawa, ON","74 Waterton crescent, Ottawa, ON"
274187,way,45.4631958,-75.4792974,,643,Casabella Drive,terrace,"643 Casabella drive, Ottawa, ON","643 Casabella drive, Ottawa, ON"
274033,way,45.4506177,-75.6525938,,306,St-Laurent Boulevard,terrace,"306 St-laurent boulevard, Ottawa, ON","306 St-laurent boulevard, Ottawa, ON"
200566,way,45.318738,-75.9225395,,206,Blackdome Crescent,terrace,"206 Blackdome crescent, Ottawa, ON","206 Blackdome crescent, Ottawa, ON"
276432,way,45.470344,-75.4601615,,1930,Scully Way,terrace,"1930 Scully way, Ottawa, ON","1930 Scully way, Ottawa, ON"
203957,way,45.3506803,-75.6765427,,224,Royalton Private,terrace,"224 Royalton private, Ottawa, ON","224 Royalton private, Ottawa, ON"
194366,way,45.3440137,-75.9335092,,42,Piper Crescent,terrace,"42 Piper crescent, Ottawa, ON","42 Piper crescent, Ottawa, ON"
266138,way,45.2835024,-75.8688693,,490,Barrick Hill Road,terrace,"490 Barrick hill road, Ottawa, ON","490 Barrick hill road, Ottawa, ON"
250884,way,45.4329621,-75.6292412,,4283,Carver Place,terrace,"4283 Carver place, Ottawa, ON","4283 Carver place, Ottawa, ON"
276886,way,45.4365651,-75.5136618,,359,Rainrock Crescent,terrace,"359 Rainrock crescent, Ottawa, ON","359 Rainrock crescent, Ottawa, ON"
268513,way,45.2686155,-75.7290332,,478,Temiskaming Crescent,terrace,"478 Temiskaming crescent, Ottawa, ON","478 Temiskaming crescent, Ottawa, ON"
236600,way,45.2653696,-75.6946976,,323,Ardmore Street,terrace,"323 Ardmore street, Ottawa, ON","323 Ardmore street, Ottawa, ON"
64349,way,45.3548216,-75.9377309,,108,Woliston Crescent,terrace,"108 Woliston crescent, Ottawa, ON","108 Woliston crescent, Ottawa, ON"
257066,way,45.3587553,-75.8015719,9.0,95,Ritchie Street,terrace,"9-95 Ritchie street, Ottawa, ON","95 Ritchie street, Ottawa, ON"
199863,way,45.3094041,-75.9001339,,15,Baton Court,terrace,"15 Baton court, Ottawa, ON","15 Baton court, Ottawa, ON"
257119,way,45.3594559,-75.7994136,5.0,85,Ritchie Street,terrace,"5-85 Ritchie street, Ottawa, ON","85 Ritchie street, Ottawa, ON"
251663,way,45.4477656,-75.5971476,,2007,Beaconwood Drive,terrace,"2007 Beaconwood drive, Ottawa, ON","2007 Beaconwood drive, Ottawa, ON"
290502,way,45.2802785,-75.8818521,,118,Gelderland Private,terrace,"118 Gelderland private, Ottawa, ON","118 Gelderland private, Ottawa, ON"
196989,way,45.3462741,-75.7679381,,6,Redding Way,terrace,"6 Redding way, Ottawa, ON","6 Redding way, Ottawa, ON"
240864,way,45.4636637,-75.534192,,1532,Henri Lauzon Street,terrace,"1532 Henri lauzon street, Ottawa, ON","1532 Henri lauzon street, Ottawa, ON"
271366,way,45.3952035,-75.6815839,,243 A,Sunnyside Avenue,terrace,"243 A Sunnyside avenue, Ottawa, ON","243 A Sunnyside avenue, Ottawa, ON"
269346,way,45.2464251,-75.7278748,,402,Oban Private,terrace,"402 Oban private, Ottawa, ON","402 Oban private, Ottawa, ON"
56176,way,45.2790059,-75.7131886,,26,Oldfield Street,terrace,"26 Oldfield street, Ottawa, ON","26 Oldfield street, Ottawa, ON"
57503,way,45.2836971,-75.7063718,,74,Furness Way,terrace,"74 Furness way, Ottawa, ON","74 Furness way, Ottawa, ON"
192270,way,45.3393474,-75.7896468,,97,Monterey Drive,terrace,"97 Monterey drive, Ottawa, ON","97 Monterey drive, Ottawa, ON"
118744,way,45.3533416,-75.7102841,,44,Shadetree Crescent,terrace,"44 Shadetree crescent, Ottawa, ON","44 Shadetree crescent, Ottawa, ON"
131912,way,45.2612602,-75.9417092,,20,Whalings Circle,terrace,"20 Whalings circle, Ottawa, ON","20 Whalings circle, Ottawa, ON"
130454,way,45.2553575,-75.7332261,,969,Caldermill Private,terrace,"969 Caldermill private, Ottawa, ON","969 Caldermill private, Ottawa, ON"
198637,way,45.3366931,-75.6748673,,216,McGill Private,terrace,"216 Mcgill private, Ottawa, ON","216 Mcgill private, Ottawa, ON"
