,osm_obj_type,id,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
218273,way,563702732,45.273513,-75.8914128,,355,Livery Street,terrace,"355 Livery street, Ottawa, ON","355 Livery street, Ottawa, ON"
199631,way,547168033,45.3255667,-75.9116203,,2 C,Weslock Way,terrace,"2 C Weslock way, Ottawa, ON","2 C Weslock way, Ottawa, ON"
191107,way,533868784,45.280746,-75.7571395,,82,Thistledown Court,terrace,"82 Thistledown court, Ottawa, ON","82 Thistledown court, Ottawa, ON"
267240,way,614363957,45.2887118,-75.8792535,,12,Glamorgan Drive,terrace,"12 Glamorgan drive, Ottawa, ON","12 Glamorgan drive, Ottawa, ON"
193123,way,545353103,45.3504683,-75.8115638,,164 E,Woodridge Crescent,terrace,"164 E Woodridge crescent, Ottawa, ON","164 E Woodridge crescent, Ottawa, ON"
284733,way,625477309,45.3259069,-75.7003593,,75,Waterford Drive,terrace,"75 Waterford drive, Ottawa, ON","75 Waterford drive, Ottawa, ON"
45305,way,470870640,45.2772989,-75.7611085,,9 E,Maple Ridge Crescent,terrace,"9 E Maple ridge crescent, Ottawa, ON","9 E Maple ridge crescent, Ottawa, ON"
245055,way,583398106,45.3368895,-75.7322384,,59 A,Woodfield Drive,terrace,"59 A Woodfield drive, Ottawa, ON","59 A Woodfield drive, Ottawa, ON"
221940,way,567216584,45.281022,-75.7489635,,279,Via San Marino Street,terrace,"279 Via san marino street, Ottawa, ON","279 Via san marino street, Ottawa, ON"
260292,way,607873616,45.3170748,-75.8278524,,3903 E,Old Richmond Road,terrace,"3903 E Old richmond road, Ottawa, ON","3903 E Old richmond road, Ottawa, ON"
263229,way,613167884,45.279444,-75.7357528,,24,Plumas Gate,terrace,"24 Plumas gate, Ottawa, ON","24 Plumas gate, Ottawa, ON"
278727,way,618064185,45.4583261,-75.4576784,,1432,Comfrey Crescent,terrace,"1432 Comfrey crescent, Ottawa, ON","1432 Comfrey crescent, Ottawa, ON"
39304,way,470452822,45.2733058,-75.7182992,,216,Sorento Street,terrace,"216 Sorento street, Ottawa, ON","216 Sorento street, Ottawa, ON"
52726,way,471211769,45.4725145,-75.4750005,,1807,Northlands Drive,terrace,"1807 Northlands drive, Ottawa, ON","1807 Northlands drive, Ottawa, ON"
1413,way,68708586,45.3526332,-75.9211544,,29,Kimbolton Crescent,terrace,"29 Kimbolton crescent, Ottawa, ON","29 Kimbolton crescent, Ottawa, ON"
200074,way,547175291,45.3214073,-75.9284767,,218,Badgeley Avenue,terrace,"218 Badgeley avenue, Ottawa, ON","218 Badgeley avenue, Ottawa, ON"
198455,way,546968705,45.3181064,-75.8930887,,3,Cambray Lane,terrace,"3 Cambray lane, Ottawa, ON","3 Cambray lane, Ottawa, ON"
52355,way,471205577,45.2666579,-75.9438407,,63,Abaca Way,terrace,"63 Abaca way, Ottawa, ON","63 Abaca way, Ottawa, ON"
284723,way,625477299,45.326228,-75.701293,,5,Waterford Way,terrace,"5 Waterford way, Ottawa, ON","5 Waterford way, Ottawa, ON"
238120,way,580287948,45.4307404,-75.5139752,,206,Mullin Private,terrace,"206 Mullin private, Ottawa, ON","206 Mullin private, Ottawa, ON"
257347,way,602275870,45.4875035,-75.5153998,,143,Teal Crescent,terrace,"143 Teal crescent, Ottawa, ON","143 Teal crescent, Ottawa, ON"
274688,way,617522271,45.4667371,-75.4886723,,607,Latour Crescent,terrace,"607 Latour crescent, Ottawa, ON","607 Latour crescent, Ottawa, ON"
137379,way,478830573,45.4404812,-75.6799775,,10,Ivy Crescent,terrace,"10 Ivy crescent, Ottawa, ON","10 Ivy crescent, Ottawa, ON"
275474,way,617675867,45.4811021,-75.4727169,,1422,Lynx Crescent,terrace,"1422 Lynx crescent, Ottawa, ON","1422 Lynx crescent, Ottawa, ON"
82769,way,472241209,45.4790593,-75.4852625,,785,Hancock Crescent,terrace,"785 Hancock crescent, Ottawa, ON","785 Hancock crescent, Ottawa, ON"
280938,way,620171047,45.3449921,-75.6278537,,3201,Bannon Way,terrace,"3201 Bannon way, Ottawa, ON","3201 Bannon way, Ottawa, ON"
282207,way,620524290,45.3208375,-75.6043953,,667,White Alder Avenue,terrace,"667 White alder avenue, Ottawa, ON","667 White alder avenue, Ottawa, ON"
270313,way,615061934,45.264366,-75.6982823,,400,Haresfield Court,terrace,"400 Haresfield court, Ottawa, ON","400 Haresfield court, Ottawa, ON"
244399,way,583382507,45.3010575,-75.8850171,,28,McDermot Court,terrace,"28 Mcdermot court, Ottawa, ON","28 Mcdermot court, Ottawa, ON"
273656,way,617056702,45.3736235,-75.6427134,,47,Paddington Private,terrace,"47 Paddington private, Ottawa, ON","47 Paddington private, Ottawa, ON"
245171,way,583511224,45.4494698,-75.6297715,,214,Provender Avenue,terrace,"214 Provender avenue, Ottawa, ON","214 Provender avenue, Ottawa, ON"
205397,way,548798131,45.3367919,-75.6672643,,17,McAllister Private,terrace,"17 Mcallister private, Ottawa, ON","17 Mcallister private, Ottawa, ON"
226419,way,570086418,45.4495883,-75.5324376,,1974,Summerfields Crescent,terrace,"1974 Summerfields crescent, Ottawa, ON","1974 Summerfields crescent, Ottawa, ON"
281637,way,620523616,45.3099984,-75.6168911,,937,Verbena Crescent,terrace,"937 Verbena crescent, Ottawa, ON","937 Verbena crescent, Ottawa, ON"
45551,way,470870894,45.2751963,-75.7404867,,187,Portrush Avenue,terrace,"187 Portrush avenue, Ottawa, ON","187 Portrush avenue, Ottawa, ON"
193266,way,545356496,45.3547521,-75.7997251,,860,Grenon Avenue,terrace,"860 Grenon avenue, Ottawa, ON","860 Grenon avenue, Ottawa, ON"
68774,way,471856965,45.345547,-75.9323591,,12,McPeake Place,terrace,"12 Mcpeake place, Ottawa, ON","12 Mcpeake place, Ottawa, ON"
117932,way,473978854,45.2410129,-75.7246993,,126,Laramie Crescent,terrace,"126 Laramie crescent, Ottawa, ON","126 Laramie crescent, Ottawa, ON"
129186,way,474670765,45.2571231,-75.9383224,,36,Sable Run Drive,terrace,"36 Sable run drive, Ottawa, ON","36 Sable run drive, Ottawa, ON"
166773,way,483089706,45.3489969,-75.6479461,,2663,Equus Way,terrace,"2663 Equus way, Ottawa, ON","2663 Equus way, Ottawa, ON"
195059,way,546503073,45.35087,-75.9227535,,122,Banchory Crescent,terrace,"122 Banchory crescent, Ottawa, ON","122 Banchory crescent, Ottawa, ON"
67280,way,471838495,45.3538217,-75.9229283,,181,Kinross Private,terrace,"181 Kinross private, Ottawa, ON","181 Kinross private, Ottawa, ON"
293944,way,689258910,45.4462334,-75.4880431,,210,Mountain Sorrel Way,terrace,"210 Mountain sorrel way, Ottawa, ON","210 Mountain sorrel way, Ottawa, ON"
294200,way,689260616,45.4986758,-75.4678324,,365,Mishawashkode Street,terrace,"365 Mishawashkode street, Ottawa, ON","365 Mishawashkode street, Ottawa, ON"
276504,way,617725722,45.4681465,-75.4644941,,1024,Ballantyne Drive,terrace,"1024 Ballantyne drive, Ottawa, ON","1024 Ballantyne drive, Ottawa, ON"
201097,way,547355325,45.3072751,-75.8895607,,23,Shearer Crescent,terrace,"23 Shearer crescent, Ottawa, ON","23 Shearer crescent, Ottawa, ON"
107821,way,473078861,45.366542,-75.6290509,,41,Sturbridge Private,terrace,"41 Sturbridge private, Ottawa, ON","41 Sturbridge private, Ottawa, ON"
275849,way,617725066,45.4752903,-75.473191,,1681,Trenholm Lane,terrace,"1681 Trenholm lane, Ottawa, ON","1681 Trenholm lane, Ottawa, ON"
273664,way,617056721,45.3732424,-75.6427729,,38,Paddington Private,terrace,"38 Paddington private, Ottawa, ON","38 Paddington private, Ottawa, ON"
201949,way,547368535,45.2874657,-75.9262419,,824,Campobello Drive,terrace,"824 Campobello drive, Ottawa, ON","824 Campobello drive, Ottawa, ON"
200600,way,547185068,45.315968,-75.9213595,,13,Windcrest Court,terrace,"13 Windcrest court, Ottawa, ON","13 Windcrest court, Ottawa, ON"
193992,way,546486947,45.361022,-75.9293158,,312,Glenbrae Avenue,terrace,"312 Glenbrae avenue, Ottawa, ON","312 Glenbrae avenue, Ottawa, ON"
193996,way,546486951,45.361453,-75.9286677,,330,Glenbrae Avenue,terrace,"330 Glenbrae avenue, Ottawa, ON","330 Glenbrae avenue, Ottawa, ON"
239171,way,580960950,45.334676,-75.7584578,,196 F,Craig Henry Drive,terrace,"196 F Craig henry drive, Ottawa, ON","196 F Craig henry drive, Ottawa, ON"
193151,way,545353131,45.3510583,-75.8105306,,198 F,Woodridge Crescent,terrace,"198 F Woodridge crescent, Ottawa, ON","198 F Woodridge crescent, Ottawa, ON"
199687,way,547172574,45.3144005,-75.9152374,,55,Coulson Court,terrace,"55 Coulson court, Ottawa, ON","55 Coulson court, Ottawa, ON"
244448,way,583382605,45.3033659,-75.8843327,,395,Pickford Drive,terrace,"395 Pickford drive, Ottawa, ON","395 Pickford drive, Ottawa, ON"
147789,way,479798021,45.4015322,-75.6839141,,32 ½,Adelaide Street,terrace,"32 ½ Adelaide street, Ottawa, ON","32 ½ Adelaide street, Ottawa, ON"
241271,way,582049863,45.3745327,-75.6053106,,30,Winnegreen Court,terrace,"30 Winnegreen court, Ottawa, ON","30 Winnegreen court, Ottawa, ON"
244278,way,583379514,45.3094282,-75.8967828,,4,McClintock Way,terrace,"4 Mcclintock way, Ottawa, ON","4 Mcclintock way, Ottawa, ON"
266432,way,614352492,45.2768366,-75.8668222,,667,Pepperville Crescent,terrace,"667 Pepperville crescent, Ottawa, ON","667 Pepperville crescent, Ottawa, ON"
265699,way,614351703,45.2793175,-75.8523108,,52,Milner Downs Crescent,terrace,"52 Milner downs crescent, Ottawa, ON","52 Milner downs crescent, Ottawa, ON"
198247,way,546966207,45.3168895,-75.8950235,,65,Dunn Street,terrace,"65 Dunn street, Ottawa, ON","65 Dunn street, Ottawa, ON"
201928,way,547368514,45.2870108,-75.925748,,1021,Pampero Crescent,terrace,"1021 Pampero crescent, Ottawa, ON","1021 Pampero crescent, Ottawa, ON"
193190,way,545353170,45.3517422,-75.8109285,,192 D,Woodridge Crescent,terrace,"192 D Woodridge crescent, Ottawa, ON","192 D Woodridge crescent, Ottawa, ON"
274065,way,617314740,45.4510559,-75.6552014,,63,Braemar Street,terrace,"63 Braemar street, Ottawa, ON","63 Braemar street, Ottawa, ON"
243947,way,583306097,45.3367658,-75.7468034,,27,Greynam Court,terrace,"27 Greynam court, Ottawa, ON","27 Greynam court, Ottawa, ON"
265146,way,614147246,45.2940129,-75.8516621,,16,Waterthrush Crescent,terrace,"16 Waterthrush crescent, Ottawa, ON","16 Waterthrush crescent, Ottawa, ON"
