row,osm_obj_type,id,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address,attached_buildings
2123,way,150682841,45.3983934,-75.749505,,120,Lanark Avenue,row_house,"120 Lanark avenue, Ottawa, ON","120 Lanark avenue, Ottawa, ON",4
2945,way,190782104,45.3889427,-75.6246608,,2196 F,Halifax Drive,row_house,"2196 F Halifax drive, Ottawa, ON","2196 F Halifax drive, Ottawa, ON",6
3846,way,233422874,45.3655618,-75.7400568,,42,Coleridge Street,row_house,"42 Coleridge street, Ottawa, ON","42 Coleridge street, Ottawa, ON",3
4943,way,244441492,45.4163634,-75.7071322,,455,Slater Street,row_house,"455 Slater street, Ottawa, ON","455 Slater street, Ottawa, ON",6
5246,way,249272571,45.3949307,-75.6810983,,234,Sunnyside Avenue,row_house,"234 Sunnyside avenue, Ottawa, ON","234 Sunnyside avenue, Ottawa, ON",3
8022,way,307251228,45.4237837,-75.651694,,1107 B,Lola Street,row_house,"1107 B Lola street, Ottawa, ON","1107 B Lola street, Ottawa, ON",10
8472,way,310371045,45.4046956,-75.7073804,,427,Arlington Avenue,row_house,"427 Arlington avenue, Ottawa, ON","427 Arlington avenue, Ottawa, ON",6
9459,way,319809960,45.4313261,-75.6861925,,253,York Street,row_house,"253 York street, Ottawa, ON","253 York street, Ottawa, ON",5
13363,way,388177508,45.4324085,-75.6867191,,286,Murray Street,row_house,"286 Murray street, Ottawa, ON","286 Murray street, Ottawa, ON",3
13387,way,388355517,45.4322925,-75.6857052,,312,Murray Street,row_house,"312 Murray street, Ottawa, ON","312 Murray street, Ottawa, ON",5
15212,way,433207086,45.4281517,-75.6190982,,4301,Halmont Drive,row_house,"4301 Halmont drive, Ottawa, ON","4301 Halmont drive, Ottawa, ON",6
18276,way,448151058,45.3812145,-75.639899,,1781,Heron Road,row_house,"1781 Heron road, Ottawa, ON","1781 Heron road, Ottawa, ON",6
18284,way,448151066,45.3808145,-75.6393477,,1801,Heron Road,row_house,"1801 Heron road, Ottawa, ON","1801 Heron road, Ottawa, ON",6
18673,way,458179917,45.4323783,-75.6930262,,150,St. Andrew Street,row_house,"150 St. andrew street, Ottawa, ON","150 St. andrew street, Ottawa, ON",3
18684,way,458180499,45.4318321,-75.6923314,,160,Guigues Avenue,row_house,"160 Guigues avenue, Ottawa, ON","160 Guigues avenue, Ottawa, ON",4
18794,way,458597340,45.4325635,-75.6939852,,179,Dalhousie Street,row_house,"179 Dalhousie street, Ottawa, ON","179 Dalhousie street, Ottawa, ON",4
18815,way,458599324,45.4337362,-75.6907091,,233,St. Andrew Street,row_house,"233 St. andrew street, Ottawa, ON","233 St. andrew street, Ottawa, ON",4
18966,way,459068862,45.4320172,-75.6956935,,80,Bruyère Street,row_house,"80 Bruyère street, Ottawa, ON","80 Bruyère street, Ottawa, ON",3
19059,way,459248638,45.4353845,-75.6929446,,235,Bolton Street,row_house,"235 Bolton street, Ottawa, ON","235 Bolton street, Ottawa, ON",3
19136,way,459468403,45.4355692,-75.6931424,,129,Cumberland Street,row_house,"129 Cumberland street, Ottawa, ON","129 Cumberland street, Ottawa, ON",8
19177,way,459471176,45.4265879,-75.684477,,94,Stewart Street,row_house,"94 Stewart street, Ottawa, ON","94 Stewart street, Ottawa, ON",5
19570,way,460205064,45.4179771,-75.6678821,3,13,Robinson Avenue,row_house,"3-13 Robinson avenue, Ottawa, ON","13 Robinson avenue, Ottawa, ON",6
19643,way,460236988,45.4021083,-75.7043982,,327,Lebreton Street South,row_house,"327 Lebreton street south, Ottawa, ON","327 Lebreton street south, Ottawa, ON",5
20031,way,460841749,45.4119522,-75.6988123,,107,James Street,row_house,"107 James street, Ottawa, ON","107 James street, Ottawa, ON",6
82570,way,472241001,45.47915,-75.4829694,,1641,Marinoff Way,row_house,"1641 Marinoff way, Ottawa, ON","1641 Marinoff way, Ottawa, ON",4
99797,way,472429208,45.4758332,-75.4995045,,1448,Deavy Way,row_house,"1448 Deavy way, Ottawa, ON","1448 Deavy way, Ottawa, ON",5
105165,way,472844348,45.3479438,-75.7160438,,8 B,Tropicana Private,row_house,"8 B Tropicana private, Ottawa, ON","8 B Tropicana private, Ottawa, ON",6
105330,way,472844547,45.3476419,-75.7149822,,12 G,Europa Private,row_house,"12 G Europa private, Ottawa, ON","12 G Europa private, Ottawa, ON",7
106308,way,473049514,45.3481016,-75.6296849,,1596,Fortier Street,row_house,"1596 Fortier street, Ottawa, ON","1596 Fortier street, Ottawa, ON",4
113893,way,473203073,45.4187437,-75.6066254,,1635,Fine Crescent,row_house,"1635 Fine crescent, Ottawa, ON","1635 Fine crescent, Ottawa, ON",5
114490,way,473210184,45.3517075,-75.7276501,,52 C,Chesterton Drive,row_house,"52 C Chesterton drive, Ottawa, ON","52 C Chesterton drive, Ottawa, ON",4
114792,way,473220282,45.4448256,-75.607199,,45 J,Sumac Street,row_house,"45 J Sumac street, Ottawa, ON","45 J Sumac street, Ottawa, ON",9
114910,way,473220435,45.4446979,-75.6068302,,46 A,Sumac Street,row_house,"46 A Sumac street, Ottawa, ON","46 A Sumac street, Ottawa, ON",8
130823,way,474837508,45.3740791,-75.7569814,,848,Maitland Avenue,row_house,"848 Maitland avenue, Ottawa, ON","848 Maitland avenue, Ottawa, ON",3
138925,way,478859584,45.3977817,-75.6893876,,92,Ralph Street,row_house,"92 Ralph street, Ottawa, ON","92 Ralph street, Ottawa, ON",3
141000,way,479047836,45.4224947,-75.6577098,6,208,Presland Road,row_house,"6-208 Presland road, Ottawa, ON","208 Presland road, Ottawa, ON",8
143366,way,479515327,45.3788478,-75.7254277,,1195,Summerville Avenue,row_house,"1195 Summerville avenue, Ottawa, ON","1195 Summerville avenue, Ottawa, ON",4
143369,way,479515330,45.3786259,-75.7273635,,1234,Dorchester Avenue,row_house,"1234 Dorchester avenue, Ottawa, ON","1234 Dorchester avenue, Ottawa, ON",3
148207,way,479809041,45.3674999,-75.7044322,29,923,Meadowlands Drive,row_house,"29-923 Meadowlands drive, Ottawa, ON","923 Meadowlands drive, Ottawa, ON",6
148218,way,479809053,45.3676479,-75.7061819,99,955,Debra Avenue,row_house,"99-955 Debra avenue, Ottawa, ON","955 Debra avenue, Ottawa, ON",8
149364,way,479919816,45.3642943,-75.7102311,,655,Trelawny Private,row_house,"655 Trelawny private, Ottawa, ON","655 Trelawny private, Ottawa, ON",6
149445,way,479919921,45.3642549,-75.7086989,,306,Kintyre Private,row_house,"306 Kintyre private, Ottawa, ON","306 Kintyre private, Ottawa, ON",4
151209,way,480311485,45.4265095,-75.6344755,,4310,Weldon Drive,row_house,"4310 Weldon drive, Ottawa, ON","4310 Weldon drive, Ottawa, ON",8
151217,way,480316853,45.4296485,-75.6330869,,1031 F,Cummings Avenue,row_house,"1031 F Cummings avenue, Ottawa, ON","1031 F Cummings avenue, Ottawa, ON",8
156376,way,481889921,45.3541989,-75.7059251,,86,Appleby Private,row_house,"86 Appleby private, Ottawa, ON","86 Appleby private, Ottawa, ON",8
157220,way,482449721,45.3691331,-75.6168374,,31,Horsdal Private,row_house,"31 Horsdal private, Ottawa, ON","31 Horsdal private, Ottawa, ON",6
157419,way,482449992,45.3690509,-75.6146168,,1480,Blohm Drive,row_house,"1480 Blohm drive, Ottawa, ON","1480 Blohm drive, Ottawa, ON",4
158222,way,482454716,45.3736759,-75.6203417,,1069,Ewing Street,row_house,"1069 Ewing street, Ottawa, ON","1069 Ewing street, Ottawa, ON",4
158302,way,482454827,45.3700675,-75.6219313,,95,Wallack Private,row_house,"95 Wallack private, Ottawa, ON","95 Wallack private, Ottawa, ON",8
160561,way,482662406,45.3420711,-75.6709726,,306,Wisteria Crescent,row_house,"306 Wisteria crescent, Ottawa, ON","306 Wisteria crescent, Ottawa, ON",3
162493,way,482836830,45.3510226,-75.6402414,,1436,Forge Street,row_house,"1436 Forge street, Ottawa, ON","1436 Forge street, Ottawa, ON",4
162568,way,482836917,45.351141,-75.6398799,,1437,Forge Street,row_house,"1437 Forge street, Ottawa, ON","1437 Forge street, Ottawa, ON",4
166791,way,483089726,45.3469495,-75.6500835,,2556,Fox Hollow Crescent,row_house,"2556 Fox hollow crescent, Ottawa, ON","2556 Fox hollow crescent, Ottawa, ON",7
166954,way,483089918,45.3471879,-75.645435,,2754,Hambledon Court,row_house,"2754 Hambledon court, Ottawa, ON","2754 Hambledon court, Ottawa, ON",6
166973,way,483089963,45.3473739,-75.6449417,,2770,Hambledon Court,row_house,"2770 Hambledon court, Ottawa, ON","2770 Hambledon court, Ottawa, ON",7
168539,way,483215263,45.3591562,-75.6478329,,1252,Pebble Road,row_house,"1252 Pebble road, Ottawa, ON","1252 Pebble road, Ottawa, ON",10
168565,way,483215292,45.3589157,-75.6421617,,53,Patola Private,row_house,"53 Patola private, Ottawa, ON","53 Patola private, Ottawa, ON",7
168617,way,483215345,45.3595286,-75.6423258,,23,Patola Private,row_house,"23 Patola private, Ottawa, ON","23 Patola private, Ottawa, ON",8
168661,way,483215390,45.3588492,-75.6441238,,501,Marlin Private,row_house,"501 Marlin private, Ottawa, ON","501 Marlin private, Ottawa, ON",9
171373,way,483310712,45.4447516,-75.6016139,,901 A,Elmsmere Road,row_house,"901 A Elmsmere road, Ottawa, ON","901 A Elmsmere road, Ottawa, ON",3
